index,elapsed_s,model,series_r,series_l,series_c,current_pga,voltage_phase_deg,impedance_imag_ohm,dds_frequency_hz,voltage_pga,captured_cycles,voltage_amplitude_v,sample_rate_hz,shunt_range,impedance_real_ohm,shunt_resistance_ohm,current_phase_deg,current_amplitude_a,samples_per_period,phase_diff_deg,impedance_mag_ohm
82,9.425763,Series RL,0.519928,0.000108276090349,,0,-133.738616,34.015937,50000,0,20.000000,0.267202,1000000,0,0.519928,100.000000,-42.862930,0.007854,20.000000,89.124305,34.019912
83,9.539032,Series RL,0.669810,0.000109770256053,,0,-174.007080,34.485343,50000,0,20.000000,0.270921,1000000,0,0.669810,100.000000,-82.894363,0.007855,20.000000,88.887275,34.491847
84,9.652679,Series RL,0.380214,0.000108844142989,,0,-19.323772,34.194396,50000,0,20.000000,0.268529,1000000,0,0.380214,100.000000,71.313285,0.007853,20.000000,89.362945,34.196510
85,9.763921,Series RL,0.472227,0.000109543361583,,0,36.509014,34.414062,50000,0,20.000000,0.270141,1000000,0,0.472227,100.000000,127.295181,0.007849,20.000000,89.213844,34.417301
86,9.882271,Series RL,0.666959,0.000109756610109,,0,95.425292,34.481056,50000,0,20.000000,0.270793,1000000,0,0.666959,100.000000,-173.466598,0.007852,20.000000,88.891876,34.487506
87,9.999781,Series RL,0.308711,0.000108017673651,,0,156.874053,33.934753,50000,0,20.000000,0.266424,1000000,0,0.308711,100.000000,-112.604713,0.007851,20.000000,89.478782,33.936157
88,10.115225,Series RL,0.647641,0.000108591446319,,0,170.853332,34.115009,50000,0,20.000000,0.267892,1000000,0,0.647641,100.000000,-98.059074,0.007851,20.000000,88.912422,34.121154
89,10.229092,Series RL,0.648545,0.000108507918622,,0,-80.964805,34.088768,50000,0,20.000000,0.267777,1000000,0,0.648545,100.000000,10.125129,0.007854,20.000000,88.910064,34.094936
90,10.342898,Series RL,0.595223,0.00010829848345,,0,-26.441911,34.022972,50000,0,20.000000,0.267289,1000000,0,0.595223,100.000000,64.560371,0.007855,20.000000,88.997726,34.028179
91,10.456528,Series RL,0.667638,0.000108583077953,,0,-63.320430,34.112380,50000,0,20.000000,0.267995,1000000,0,0.667638,100.000000,27.800804,0.007855,20.000000,88.878768,34.118915
92,10.571791,Series RL,0.459870,0.00010954073871,,0,0.405645,34.413238,50000,0,20.000000,0.270160,1000000,0,0.459870,100.000000,91.171249,0.007850,20.000000,89.234390,34.416309
93,10.692065,Series RL,0.680147,0.000108789199519,,0,26.168737,34.177135,50000,0,20.000000,0.268432,1000000,0,0.680147,100.000000,117.308807,0.007853,20.000000,88.859924,34.183902
94,10.812533,Series RL,0.506539,0.000108237816768,,0,-169.499389,34.003913,50000,0,20.000000,0.267073,1000000,0,0.506539,100.000000,-78.645942,0.007853,20.000000,89.146553,34.007686
95,10.930497,Series RL,0.662139,0.000109934010574,,0,166.797821,34.536788,50000,0,20.000000,0.271301,1000000,0,0.662139,100.000000,-102.103851,0.007854,20.000000,88.901664,34.543136
96,11.044371,Series RL,0.454886,0.000109369491174,,0,-54.090618,34.359439,50000,0,20.000000,0.269806,1000000,0,0.454886,100.000000,36.667884,0.007852,20.000000,89.241500,34.362449
97,11.158707,Series RL,0.622666,0.000109893139585,,0,-157.845306,34.523948,50000,0,20.000000,0.271070,1000000,0,0.622666,100.000000,-66.812034,0.007850,20.000000,88.966735,34.529563
98,11.272672,Series RL,0.598058,0.000109936076405,,0,56.336147,34.537437,50000,0,20.000000,0.271180,1000000,0,0.598058,100.000000,147.328201,0.007851,20.000000,89.007949,34.542613
99,11.386534,Series RL,0.535641,0.000109956123562,,0,56.054515,34.543735,50000,0,20.000000,0.271182,1000000,0,0.535641,100.000000,146.942886,0.007849,20.000000,89.111633,34.547885
100,11.500573,Series RL,0.385850,0.000109134158309,,0,17.429384,34.285507,50000,0,20.000000,0.269171,1000000,0,0.385850,100.000000,108.074165,0.007850,20.000000,89.355216,34.287677
