index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
71,5.718108,Series RC,1.037597,,4.51988489478e-07,-352.121673,-89.831161,21.647447,25000,0.002227,25.000000,0,352.123199,0.784321,100.000000,111.816261,1,1000,0,1.037597,20.000000
72,5.808147,Series RC,1.649940,,4.51854323567e-07,-352.226226,-89.731613,58.775707,25000,0.002227,25.000000,0,352.230072,0.784445,100.000000,149.044113,1,1000,0,1.649940,20.000000
73,5.886062,Series RC,1.654556,,4.51648607943e-07,-352.386657,-89.730979,56.280055,25000,0.002226,25.000000,0,352.390533,0.784342,100.000000,146.549072,1,1000,0,1.654556,20.000000
74,5.965481,Series RC,1.272412,,4.51780421539e-07,-352.283843,-89.793052,33.589431,25000,0.002227,25.000000,0,352.286132,0.784445,100.000000,123.796379,1,1000,0,1.272412,20.000000
75,6.049223,Series RC,1.450377,,4.51837176328e-07,-352.239593,-89.764076,177.610382,25000,0.002227,25.000000,0,352.242584,0.784469,100.000000,-92.153694,1,1000,0,1.450377,20.000000
76,6.122628,Series RC,2.215903,,4.51695627598e-07,-352.349975,-89.639678,84.406135,25000,0.002226,25.000000,0,352.356964,0.784490,100.000000,174.766464,1,1000,0,2.215903,20.000000
77,6.208445,Series RC,0.981610,,4.52099727926e-07,-352.035034,-89.840232,-136.311172,25000,0.002228,25.000000,0,352.036407,0.784281,100.000000,-46.151405,1,1000,0,0.981610,20.000000
78,6.286864,Series RC,1.561606,,4.51729509558e-07,-352.323547,-89.746047,174.253311,25000,0.002227,25.000000,0,352.326995,0.784543,100.000000,-95.492736,1,1000,0,1.561606,20.000000
79,6.365393,Series RC,1.594198,,4.51467817959e-07,-352.527770,-89.740898,-44.364486,25000,0.002225,25.000000,0,352.531372,0.784375,100.000000,45.894603,1,1000,0,1.594198,20.000000
80,6.443416,Series RC,2.151178,,4.51579972621e-07,-352.440216,-89.650283,142.090286,25000,0.002226,25.000000,0,352.446777,0.784392,100.000000,-127.560012,1,1000,0,2.151178,20.000000
81,6.528050,Series RC,1.672435,,4.51517223501e-07,-352.489196,-89.728149,172.268127,25000,0.002226,25.000000,0,352.493164,0.784565,100.000000,-97.460037,1,1000,0,1.672435,20.000000
82,6.600581,Series RC,0.969896,,4.52161228578e-07,-351.987152,-89.842117,7.661547,25000,0.002228,25.000000,0,351.988494,0.784196,100.000000,97.819419,1,1000,0,0.969896,20.000000
83,6.690925,Series RC,0.983520,,4.52225216927e-07,-351.937347,-89.839881,-165.232818,25000,0.002228,25.000000,0,351.938720,0.784217,100.000000,-75.072708,1,1000,0,0.983520,20.000000
84,6.763717,Series RC,1.319587,,4.52135357013e-07,-352.007293,-89.785209,-36.948715,25000,0.002228,25.000000,0,352.009765,0.784247,100.000000,53.266075,1,1000,0,1.319587,20.000000
85,6.854688,Series RC,1.927786,,4.517657061e-07,-352.295318,-89.686470,-117.940803,25000,0.002226,25.000000,0,352.300598,0.784292,100.000000,-27.627296,1,1000,0,1.927786,20.000000
86,6.935190,Series RC,1.561142,,4.51450543813e-07,-352.541259,-89.746276,-115.982315,25000,0.002225,25.000000,0,352.544708,0.784551,100.000000,-25.728607,1,1000,0,1.561142,20.000000
87,7.012827,Series RC,1.050330,,4.52144921222e-07,-351.999847,-89.829032,65.147850,25000,0.002228,25.000000,0,352.001403,0.784132,100.000000,155.318817,1,1000,0,1.050330,20.000000
88,7.090818,Series RC,1.531793,,4.51479424869e-07,-352.518707,-89.751029,-72.514663,25000,0.002226,25.000000,0,352.522033,0.784606,100.000000,17.734306,1,1000,0,1.531793,20.000000
89,7.175540,Series RC,1.209361,,4.52178047132e-07,-351.974060,-89.803138,-64.564750,25000,0.002228,25.000000,0,351.976135,0.784088,100.000000,25.632097,1,1000,0,1.209361,20.000000
90,7.253553,Series RC,1.324776,,4.51739330994e-07,-352.315887,-89.784553,-171.900756,25000,0.002227,25.000000,0,352.318389,0.784537,100.000000,-81.685317,1,1000,0,1.324776,20.000000
91,7.337931,Series RC,1.275475,,4.5194501122e-07,-352.155548,-89.792480,-168.708358,25000,0.002227,25.000000,0,352.157867,0.784337,100.000000,-78.500823,1,1000,0,1.275475,20.000000
