index,elapsed_s,model,series_r,series_l,series_c,current_phase_deg,voltage_phase_deg,samples_per_period,current_amplitude_a,shunt_resistance_ohm,current_pga,phase_diff_deg,dds_frequency_hz,shunt_range,voltage_pga,impedance_mag_ohm,impedance_imag_ohm,captured_cycles,voltage_amplitude_v,impedance_real_ohm,sample_rate_hz
432,23.898229,Series RL,0.608054,0.000108397843881,,28.682786,-62.340152,20.000000,0.007851,100.000000,0,88.977066,50000,0,0,34.059616,34.054187,20.000000,0.267412,0.608054,1000000
433,23.952078,Series RL,0.371014,0.000108121188026,,-132.060195,137.313995,20.000000,0.007853,100.000000,0,89.374198,50000,0,0,33.969299,33.967273,20.000000,0.266758,0.371014,1000000
434,24.005345,Series RL,0.589034,0.00010992809956,,129.464202,38.487056,20.000000,0.007850,100.000000,0,89.022842,50000,0,0,34.539955,34.534931,20.000000,0.271134,0.589034,1000000
435,24.061302,Series RL,0.475939,0.00010965554672,,-142.394439,126.814041,20.000000,0.007849,100.000000,0,89.208473,50000,0,0,34.452594,34.449306,20.000000,0.270421,0.475939,1000000
436,24.114731,Series RL,0.669344,0.000109062576782,,-153.319610,115.561218,20.000000,0.007854,100.000000,0,88.880836,50000,0,0,34.269554,34.263019,20.000000,0.269152,0.669344,1000000
437,24.168609,Series RL,0.437723,0.000109591410461,,19.629249,-71.099159,20.000000,0.007848,100.000000,0,89.271591,50000,0,0,34.431938,34.429157,20.000000,0.270226,0.437723,1000000
438,24.221867,Series RL,0.324600,0.00010825702677,,87.005516,-3.541315,20.000000,0.007849,100.000000,0,89.453170,50000,0,0,34.011497,34.009948,20.000000,0.266950,0.324600,1000000
439,24.276433,Series RL,0.418825,0.000108850445525,,89.217201,-1.484498,20.000000,0.007851,100.000000,0,89.298294,50000,0,0,34.198940,34.196376,20.000000,0.268485,0.418825,1000000
440,24.331848,Series RL,0.401540,0.000108810122028,,142.891616,52.218624,20.000000,0.007852,100.000000,0,89.327003,50000,0,0,34.186065,34.183708,20.000000,0.268413,0.401540,1000000
441,24.386827,Series RL,0.620797,0.000109893053641,,130.609115,39.578948,20.000000,0.007851,100.000000,0,88.969833,50000,0,0,34.529502,34.523921,20.000000,0.271102,0.620797,1000000
442,24.440210,Series RL,0.517667,0.000109938988941,,-33.303260,-124.161964,20.000000,0.007850,100.000000,0,89.141296,50000,0,0,34.542232,34.538352,20.000000,0.271155,0.517667,1000000
443,24.493452,Series RL,0.418899,0.000109333598552,,-71.319129,-162.017868,20.000000,0.007848,100.000000,0,89.301269,50000,0,0,34.350719,34.348163,20.000000,0.269576,0.418899,1000000
444,24.564487,Series RL,0.416804,0.000109107894561,,-72.104515,-162.801177,20.000000,0.007853,100.000000,0,89.303329,50000,0,0,34.279788,34.277256,20.000000,0.269192,0.416804,1000000
445,24.642463,Series RL,0.392379,0.000108546274964,,70.503555,-20.155687,20.000000,0.007850,100.000000,0,89.340759,50000,0,0,34.103076,34.100818,20.000000,0.267724,0.392379,1000000
446,24.696881,Series RL,0.351617,0.000108048065879,,-77.437835,-168.031326,20.000000,0.007851,100.000000,0,89.406509,50000,0,0,33.946121,33.944301,20.000000,0.266518,0.351617,1000000
447,24.750578,Series RL,0.703375,0.000109762982672,,114.385177,23.216642,20.000000,0.007852,100.000000,0,88.831459,50000,0,0,34.490230,34.483058,20.000000,0.270831,0.703375,1000000
448,24.804221,Series RL,0.421858,0.000109104482279,,-161.991912,107.302940,20.000000,0.007852,100.000000,0,89.294860,50000,0,0,34.278781,34.276184,20.000000,0.269169,0.421858,1000000
