index,elapsed_s,model,series_r,series_l,series_c,impedance_imag_ohm,phase_diff_deg,current_phase_deg,sample_rate_hz,current_amplitude_a,samples_per_period,voltage_pga,impedance_mag_ohm,voltage_amplitude_v,shunt_resistance_ohm,voltage_phase_deg,current_pga,dds_frequency_hz,shunt_range,impedance_real_ohm,captured_cycles
748,44.845861,Series RL,0.275528,0.000111156422396,,6.984164,87.740821,-25.860885,250000,0.013038,25.000000,1,6.989597,0.091132,100.000000,-118.120056,0,10000,0,0.275528,20.000000
749,44.903379,Series RL,0.284680,0.000110119671182,,6.919023,87.643913,-144.067245,250000,0.013041,25.000000,1,6.924877,0.090309,100.000000,123.576683,0,10000,0,0.284680,20.000000
750,44.959264,Series RL,0.286118,0.000110207636119,,6.924550,87.633918,-143.629791,250000,0.013039,25.000000,1,6.930458,0.090364,100.000000,124.004096,0,10000,0,0.286118,20.000000
751,45.014818,Series RL,0.294535,0.000110996455763,,6.974113,87.581680,-104.524276,250000,0.013040,25.000000,1,6.980329,0.091023,100.000000,163.057388,0,10000,0,0.294535,20.000000
752,45.069479,Series RL,0.292404,0.000110769819124,,6.959873,87.594245,-147.393585,250000,0.013040,25.000000,1,6.966012,0.090834,100.000000,120.200630,0,10000,0,0.292404,20.000000
753,45.124595,Series RL,0.276102,0.000110738338276,,6.957895,87.727592,-64.238075,250000,0.013038,25.000000,1,6.963371,0.090789,100.000000,-156.510482,0,10000,0,0.276102,20.000000
754,45.179292,Series RL,0.322344,0.000110691849118,,6.954974,87.346397,54.972644,250000,0.013032,25.000000,1,6.962440,0.090732,100.000000,-37.680953,0,10000,0,0.322344,20.000000
755,45.234374,Series RL,0.296624,0.000110235758797,,6.926317,87.547767,-29.492916,250000,0.013040,25.000000,1,6.932666,0.090405,100.000000,-121.945159,0,10000,0,0.296624,20.000000
756,45.312813,Series RL,0.262828,0.000110599205025,,6.949153,87.834007,-66.028617,250000,0.013040,25.000000,1,6.954122,0.090680,100.000000,-158.194610,0,10000,0,0.262828,20.000000
757,45.368229,Series RL,0.314248,0.000110913090404,,6.968875,87.418106,54.975990,250000,0.013032,25.000000,1,6.975957,0.090913,100.000000,-37.605899,0,10000,0,0.314248,20.000000
758,45.422845,Series RL,0.285429,0.000110876468852,,6.966574,87.653831,102.994132,250000,0.013035,25.000000,1,6.972418,0.090886,100.000000,10.647960,0,10000,0,0.285429,20.000000
759,45.501679,Series RL,0.273787,0.00011041985332,,6.937884,87.740135,179.124847,250000,0.013036,25.000000,1,6.943284,0.090514,100.000000,86.864974,0,10000,0,0.273787,20.000000
760,45.559810,Series RL,0.315591,0.000110266603025,,6.928255,87.391906,100.417709,250000,0.013034,25.000000,1,6.935439,0.090395,100.000000,7.809620,0,10000,0,0.315591,20.000000
761,45.615382,Series RL,0.283087,0.000110699488555,,6.955454,87.669334,48.991333,250000,0.013033,25.000000,1,6.961212,0.090723,100.000000,-43.339328,0,10000,0,0.283087,20.000000
762,45.670015,Series RL,0.285791,0.000110620038407,,6.950462,87.645423,146.126159,250000,0.013038,25.000000,1,6.956336,0.090696,100.000000,53.771579,0,10000,0,0.285791,20.000000
763,45.724488,Series RL,0.289375,0.000110716963768,,6.956552,87.618011,91.468269,250000,0.013030,25.000000,1,6.962567,0.090719,100.000000,-0.913715,0,10000,0,0.289375,20.000000
764,45.779124,Series RL,0.255687,0.000110924883785,,6.969616,87.898986,-97.134353,250000,0.013038,25.000000,1,6.974305,0.090929,100.000000,170.764648,0,10000,0,0.255687,20.000000
765,45.833602,Series RL,0.292804,0.000110553559388,,6.946285,87.586265,106.597129,250000,0.013032,25.000000,1,6.952454,0.090603,100.000000,14.183386,0,10000,0,0.292804,20.000000
766,45.888153,Series RL,0.286958,0.000110868495189,,6.966073,87.641105,48.758640,250000,0.013034,25.000000,1,6.971982,0.090870,100.000000,-43.600254,0,10000,0,0.286958,20.000000
767,45.955532,Series RL,0.275057,0.000110887482374,,6.967266,87.739219,-77.692947,250000,0.013037,25.000000,1,6.972693,0.090900,100.000000,-169.953720,0,10000,0,0.275057,20.000000
768,46.027508,Series RL,0.321740,0.00011019205485,,6.923571,87.339363,128.497238,250000,0.013032,25.000000,1,6.931043,0.090328,100.000000,35.836608,0,10000,0,0.321740,20.000000
769,46.093334,Series RL,0.294134,0.000110763341518,,6.959466,87.579887,77.641578,250000,0.013032,25.000000,1,6.965679,0.090774,100.000000,-14.778525,0,10000,0,0.294134,20.000000
770,46.149165,Series RL,0.290727,0.000110723409543,,6.956957,87.607032,87.551795,250000,0.013034,25.000000,1,6.963029,0.090755,100.000000,-4.841173,0,10000,0,0.290727,20.000000
771,46.204121,Series RL,0.283663,0.000110609343195,,6.949790,87.662712,20.815032,250000,0.013033,25.000000,1,6.955576,0.090652,100.000000,-71.522254,0,10000,0,0.283663,20.000000
772,46.276178,Series RL,0.287335,0.000110607465167,,6.949672,87.632446,-119.959701,250000,0.013036,25.000000,1,6.955610,0.090672,100.000000,147.672760,0,10000,0,0.287335,20.000000
773,46.334950,Series RL,0.301467,0.000110365533738,,6.934471,87.510704,-160.182235,250000,0.013037,25.000000,1,6.941021,0.090488,100.000000,107.328453,0,10000,0,0.301467,20.000000
774,46.389620,Series RL,0.269781,0.000110783920252,,6.960759,87.780464,-169.559600,250000,0.013036,25.000000,1,6.965984,0.090809,100.000000,98.220878,0,10000,0,0.269781,20.000000
775,46.444270,Series RL,0.307886,0.000110574122206,,6.947577,87.462554,13.513247,250000,0.013037,25.000000,1,6.954396,0.090664,100.000000,-79.024192,0,10000,0,0.307886,20.000000
776,46.531226,Series RL,0.260490,0.000111027443231,,6.976060,87.861541,-83.238304,250000,0.013040,25.000000,1,6.980922,0.091029,100.000000,-175.376770,0,10000,0,0.260490,20.000000
777,46.590314,Series RL,0.277661,0.000110828006171,,6.963529,87.716613,59.304637,250000,0.013033,25.000000,1,6.969062,0.090827,100.000000,-32.978744,0,10000,0,0.277661,20.000000
778,46.669782,Series RL,0.320721,0.000110520264173,,6.944193,87.355644,113.023361,250000,0.013034,25.000000,1,6.951595,0.090604,100.000000,20.378997,0,10000,0,0.320721,20.000000
779,46.730615,Series RL,0.280032,0.000110770169265,,6.959895,87.695938,-120.169296,250000,0.013036,25.000000,1,6.965526,0.090801,100.000000,147.526657,0,10000,0,0.280032,20.000000
780,46.791005,Series RL,0.305214,0.000111073502671,,6.978954,87.495841,24.312860,250000,0.013030,25.000000,1,6.985625,0.091020,100.000000,-68.191291,0,10000,0,0.305214,20.000000
781,46.863446,Series RL,0.306134,0.000111059210557,,6.978056,87.487983,25.517715,250000,0.013033,25.000000,1,6.984768,0.091031,100.000000,-66.994293,0,10000,0,0.306134,20.000000
782,46.929619,Series RL,0.296573,0.000110493239664,,6.942495,87.553894,159.554626,250000,0.013035,25.000000,1,6.948827,0.090578,100.000000,67.108535,0,10000,0,0.296573,20.000000
783,46.984958,Series RL,0.271237,0.00011088110026,,6.966865,87.770462,-35.038902,250000,0.013034,25.000000,1,6.972143,0.090878,100.000000,-127.268447,0,10000,0,0.271237,20.000000
784,47.040127,Series RL,0.310983,0.000110306805564,,6.930781,87.430870,99.777770,250000,0.013036,25.000000,1,6.937755,0.090440,100.000000,7.208641,0,10000,0,0.310983,20.000000
785,47.094790,Series RL,0.315096,0.000110101081884,,6.917855,87.392082,-145.612075,250000,0.013038,25.000000,1,6.925027,0.090289,100.000000,121.780021,0,10000,0,0.315096,20.000000
786,47.149510,Series RL,0.287204,0.000110414648953,,6.937557,87.629394,166.740463,250000,0.013032,25.000000,1,6.943499,0.090490,100.000000,74.369857,0,10000,0,0.287204,20.000000
787,47.204239,Series RL,0.261823,0.000111059385628,,6.978067,87.851211,18.468500,250000,0.013033,25.000000,1,6.982977,0.091006,100.000000,-73.680290,0,10000,0,0.261823,20.000000
788,47.259319,Series RL,0.271222,0.000110796620817,,6.961557,87.768890,-106.038841,250000,0.013036,25.000000,1,6.966838,0.090820,100.000000,161.730056,0,10000,0,0.271222,20.000000
789,47.313804,Series RL,0.284891,0.0001104404798,,6.939180,87.649017,92.419853,250000,0.013032,25.000000,1,6.945025,0.090508,100.000000,0.068876,0,10000,0,0.284891,20.000000
790,47.368346,Series RL,0.284711,0.000110775835181,,6.960251,87.657600,77.185134,250000,0.013033,25.000000,1,6.966072,0.090789,100.000000,-15.157265,0,10000,0,0.284711,20.000000
791,47.453767,Series RL,0.277542,0.000110689270807,,6.954812,87.714729,-106.587890,250000,0.013034,25.000000,1,6.960347,0.090724,100.000000,161.126861,0,10000,0,0.277542,20.000000
792,47.515491,Series RL,0.293329,0.000110050422866,,6.914672,87.570892,172.936874,250000,0.013035,25.000000,1,6.920891,0.090215,100.000000,80.507781,0,10000,0,0.293329,20.000000
793,47.572269,Series RL,0.308133,0.000110823486171,,6.963245,87.466239,110.540756,250000,0.013027,25.000000,1,6.970059,0.090799,100.000000,18.006988,0,10000,0,0.308133,20.000000
794,47.640373,Series RL,0.285823,0.000110426490081,,6.938301,87.641044,130.864425,250000,0.013033,25.000000,1,6.944186,0.090504,100.000000,38.505458,0,10000,0,0.285823,20.000000
795,47.709108,Series RL,0.278523,0.000110719828557,,6.956732,87.707298,-106.109642,250000,0.013035,25.000000,1,6.962306,0.090754,100.000000,161.597671,0,10000,0,0.278523,20.000000
