index,elapsed_s,model,series_r,series_l,series_c,current_pga,impedance_mag_ohm,voltage_phase_deg,impedance_real_ohm,sample_rate_hz,voltage_amplitude_v,current_amplitude_a,dds_frequency_hz,current_phase_deg,voltage_pga,shunt_resistance_ohm,samples_per_period,captured_cycles,phase_diff_deg,impedance_imag_ohm,shunt_range
86,8.192448,Series RC,1.644774,,4.52126458399e-07,1,1173.381958,-25.871061,1.644774,7500,0.604600,0.000515,300,-115.951370,1,1000.000000,25.000000,16.000000,-89.919685,-1173.380737,1
87,8.287014,Series RC,-0.215669,,4.51988026608e-07,1,1173.740112,68.931098,-0.215669,7500,0.604458,0.000515,300,-21.058374,1,1000.000000,25.000000,16.000000,-90.010528,-1173.740112,1
88,8.381395,Series RC,0.428162,,4.52076605867e-07,1,1173.510131,-157.667694,0.428162,7500,0.604674,0.000515,300,112.311416,1,1000.000000,25.000000,16.000000,-89.979095,-1173.510131,1
89,8.474883,Series RC,0.540244,,4.52171053123e-07,1,1173.265136,-47.879394,0.540244,7500,0.604463,0.000515,300,-137.905776,1,1000.000000,25.000000,16.000000,-89.973617,-1173.265014,1
90,8.571395,Series RC,0.117856,,4.52162820454e-07,1,1173.286376,-33.641777,0.117856,7500,0.604502,0.000515,300,-123.647544,1,1000.000000,25.000000,16.000000,-89.994239,-1173.286376,1
91,8.667956,Series RC,-0.226195,,4.5220473997e-07,1,1173.177612,-46.720745,-0.226195,7500,0.604442,0.000515,300,-136.709701,1,1000.000000,25.000000,16.000000,-90.011047,-1173.177612,1
92,8.762585,Series RC,-0.028173,,4.52031089599e-07,1,1173.628295,-61.284606,-0.028173,7500,0.604427,0.000515,300,-151.283248,1,1000.000000,25.000000,16.000000,-90.001373,-1173.628295,1
93,8.857091,Series RC,0.864342,,4.52080414713e-07,1,1173.500610,79.545951,0.864342,7500,0.604547,0.000515,300,-10.496253,1,1000.000000,25.000000,16.000000,-89.957794,-1173.500244,1
94,8.950627,Series RC,0.687419,,4.51961751188e-07,1,1173.808593,-151.604080,0.687419,7500,0.604542,0.000515,300,118.362358,1,1000.000000,25.000000,16.000000,-89.966445,-1173.808349,1
95,9.044172,Series RC,0.083469,,4.52054786852e-07,1,1173.566772,-135.021774,0.083469,7500,0.604371,0.000515,300,134.974151,1,1000.000000,25.000000,16.000000,-89.995918,-1173.566772,1
96,9.139944,Series RC,1.923256,,4.52097062745e-07,1,1173.458618,-111.539306,1.923256,7500,0.604552,0.000515,300,158.366775,1,1000.000000,25.000000,16.000000,-89.906097,-1173.457031,1
97,9.233399,Series RC,0.155410,,4.51961939087e-07,1,1173.807861,158.443283,0.155410,7500,0.604590,0.000515,300,68.435699,1,1000.000000,25.000000,16.000000,-89.992416,-1173.807861,1
98,9.329517,Series RC,0.722680,,4.52137794397e-07,1,1173.351562,163.979888,0.722680,7500,0.604529,0.000515,300,73.944580,1,1000.000000,25.000000,16.000000,-89.964706,-1173.351318,1
99,9.426228,Series RC,1.641400,,4.52131115033e-07,1,1173.369873,104.589149,1.641400,7500,0.604539,0.000515,300,14.508979,1,1000.000000,25.000000,16.000000,-89.919853,-1173.368652,1
100,9.521755,Series RC,0.235934,,4.52104634957e-07,1,1173.437377,111.704101,0.235934,7500,0.604614,0.000515,300,21.692562,1,1000.000000,25.000000,16.000000,-89.988479,-1173.437377,1
